                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.39982,                0.29019,                0.86762,                0.99177,                0.95918,                0.99291,                0.93093,                0.41201,                0.27409,                0.84147,              0.0004556,              0.0004556,              0.0004556
                    119,                0.42905,                0.28154,                0.88479,                0.96071,                0.99803,                0.99333,                0.92563,                0.40908,                0.27465,                0.84773,              0.0004424,              0.0004424,              0.0004424
                    120,                0.43138,                0.30366,                0.89835,                0.98868,                0.96939,                0.99326,                0.93163,                 0.4225,                0.27643,                0.84771,              0.0004292,              0.0004292,              0.0004292
                    121,                0.39648,                0.26848,                0.86618,                0.99735,                0.96939,                0.99339,                0.92835,                0.40702,                0.27123,                0.84685,               0.000416,               0.000416,               0.000416
                    122,                0.40066,                0.28575,                0.86627,                0.99787,                0.96939,                0.99391,                 0.9278,                0.41086,                0.26485,                0.84611,              0.0004028,              0.0004028,              0.0004028
                    123,                 0.4004,                0.27788,                0.86635,                0.96811,                 0.9898,                0.99284,                0.92687,                0.40938,                0.26965,                0.83983,              0.0003896,              0.0003896,              0.0003896
                    124,                0.38247,                0.27485,                0.85904,                0.95933,                 0.9898,                0.99231,                0.91667,                0.44187,                0.28031,                0.84836,              0.0003764,              0.0003764,              0.0003764
                    125,                0.40103,                0.28623,                0.87249,                0.96923,                 0.9898,                0.99271,                0.92506,                0.40083,                0.26223,                 0.8424,              0.0003632,              0.0003632,              0.0003632
                    126,                0.39213,                0.26475,                0.87492,                0.96072,                0.99829,                0.99318,                0.91368,                0.41007,                0.26677,                0.84098,                0.00035,                0.00035,                0.00035
                    127,                0.40892,                0.28348,                0.86894,                 0.9769,                0.97959,                0.99361,                0.91743,                0.42784,                0.26715,                0.84927,              0.0003368,              0.0003368,              0.0003368
                    128,                0.39563,                0.26758,                0.86132,                0.98915,                0.96939,                0.99364,                 0.9238,                0.40969,                 0.2567,                0.84238,              0.0003236,              0.0003236,              0.0003236
                    129,                0.39941,                0.28754,                0.87542,                0.98966,                0.97702,                0.99357,                0.92035,                0.42218,                0.25963,                0.84409,              0.0003104,              0.0003104,              0.0003104
                    130,                 0.3654,                0.25705,                 0.8499,                0.98967,                0.97726,                0.99312,                0.91402,                0.39974,                0.26385,                0.83624,              0.0002972,              0.0002972,              0.0002972
                    131,                 0.3985,                0.27703,                0.85038,                0.95977,                 0.9898,                 0.9925,                0.91845,                0.42302,                0.27111,                 0.8479,               0.000284,               0.000284,               0.000284
                    132,                0.38026,                0.27327,                0.87013,                 0.9607,                0.99767,                0.99281,                0.92939,                0.40278,                0.26916,                 0.8388,              0.0002708,              0.0002708,              0.0002708
                    133,                0.40949,                0.28387,                0.86708,                0.96872,                 0.9898,                0.99359,                0.92845,                0.40506,                0.26351,                 0.8381,              0.0002576,              0.0002576,              0.0002576
                    134,                0.38597,                0.27002,                0.85594,                0.97958,                0.97925,                0.99361,                 0.9305,                0.38346,                0.25811,                0.83053,              0.0002444,              0.0002444,              0.0002444
                    135,                0.36241,                0.25385,                0.85732,                0.96995,                0.98814,                 0.9936,                0.92143,                 0.4014,                0.25703,                0.83558,              0.0002312,              0.0002312,              0.0002312
                    136,                0.35898,                0.25686,                0.85107,                0.96076,                0.99936,                 0.9935,                0.92093,                0.40352,                0.25615,                  0.835,               0.000218,               0.000218,               0.000218
                    137,                  0.366,                0.25773,                0.85462,                0.96069,                0.99765,                 0.9936,                0.92481,                0.40894,                 0.2644,                0.83965,              0.0002048,              0.0002048,              0.0002048
